当前笛卡尔位姿: CartesianPose(x=0.0520, y=-0.7743, z=0.2121, roll=175.7164, pitch=-70.0002, yaw=-80.9863)
当前笛卡尔位姿: CartesianPose(x=0.0897, y=-0.7711, z=0.2111, roll=175.7164, pitch=-70.0006, yaw=-80.9865)
当前笛卡尔位姿: CartesianPose(x=0.0910, y=-0.7866, z=0.2055, roll=175.7164, pitch=-70.0003, yaw=-80.9865)
当前笛卡尔位姿: CartesianPose(x=0.0726, y=-0.7884, z=0.2059, roll=175.7162, pitch=-70.0000, yaw=-80.9862)
当前笛卡尔位姿: CartesianPose(x=0.0665, y=-0.7716, z=0.2123, roll=175.7161, pitch=-70.0000, yaw=-80.9862)
当前笛卡尔位姿: CartesianPose(x=0.0619, y=-0.7583, z=0.2173, roll=175.7162, pitch=-70.0001, yaw=-80.9863)
当前笛卡尔位姿: CartesianPose(x=0.0573, y=-0.7393, z=0.2244, roll=175.7162, pitch=-70.0001, yaw=-80.9863)
当前笛卡尔位姿: CartesianPose(x=0.0468, y=-0.7236, z=0.2306, roll=175.7164, pitch=-70.0006, yaw=-80.9866)
当前笛卡尔位姿: CartesianPose(x=0.0369, y=-0.7068, z=0.2372, roll=175.7164, pitch=-70.0004, yaw=-80.9865)
当前笛卡尔位姿: CartesianPose(x=0.0222, y=-0.6869, z=0.2452, roll=175.7164, pitch=-70.0001, yaw=-80.9864)
当前笛卡尔位姿: CartesianPose(x=0.0067, y=-0.6707, z=0.2519, roll=175.7167, pitch=-70.0004, yaw=-80.9864)
当前笛卡尔位姿: CartesianPose(x=-0.0141, y=-0.6501, z=0.2605, roll=175.7165, pitch=-70.0000, yaw=-80.9865)
当前笛卡尔位姿: CartesianPose(x=-0.0443, y=-0.6298, z=0.2695, roll=175.7170, pitch=-70.0000, yaw=-80.9870)
当前笛卡尔位姿: CartesianPose(x=-0.0631, y=-0.6174, z=0.2751, roll=175.7171, pitch=-69.9999, yaw=-80.9871)
当前笛卡尔位姿: CartesianPose(x=-0.0884, y=-0.6074, z=0.2801, roll=175.7175, pitch=-70.0002, yaw=-80.9876)
当前笛卡尔位姿: CartesianPose(x=-0.1038, y=-0.6088, z=0.2805, roll=175.7176, pitch=-70.0001, yaw=-80.9877)
